bathrooms,average_price,count,aver_pred_price_0.0,aver_pred_price_0.5,aver_pred_price_0.75,aver_pred_price_1.0,aver_pred_price_1.25,aver_pred_price_1.5,aver_pred_price_1.75,aver_pred_price_2.0,aver_pred_price_2.25,aver_pred_price_2.5,aver_pred_price_2.75,aver_pred_price_3.0,aver_pred_price_3.25,aver_pred_price_3.5,aver_pred_price_3.75,aver_pred_price_4.0,aver_pred_price_4.25,aver_pred_price_4.5,aver_pred_price_4.75,aver_pred_price_5.0,aver_pred_price_5.25,aver_pred_price_5.5,aver_pred_price_5.75,aver_pred_price_6.0,aver_pred_price_6.25,aver_pred_price_6.5,aver_pred_price_6.75,aver_pred_price_7.5,aver_pred_price_7.75,aver_pred_price_8.0
0.0,448160.0,10,411856.12,419619.94,419957.0,420119.16,423617.1,424428.9,434868.75,436200.9,441813.2,439020.5,443944.6,448402.1,453883.7,450975.5,453790.8,454333.34,454251.6,452791.25,455096.9,455159.16,455261.84,451690.94,449308.4,449308.4,448623.1,447555.9,444638.16,444638.16,444638.16,444638.16
0.5,237375.0,4,227293.9,238169.06,239844.39,239376.9,241323.4,242080.3,248606.56,248220.22,254155.34,254298.62,257295.12,255568.88,255917.5,255156.42,256070.78,256054.56,254465.0,254011.31,255396.1,255396.1,254770.53,254770.53,252965.1,252965.1,250464.16,250464.16,250464.16,250298.92,250298.92,250298.92
0.75,294520.8611111111,72,271198.9,285051.72,286590.72,290060.16,293769.28,294734.88,301016.22,300340.56,304750.38,304964.16,308730.78,308928.38,309300.34,307710.47,308299.28,308326.03,308310.12,307386.34,308363.5,308424.47,308335.75,308335.75,308012.78,308012.78,307400.66,306303.62,306303.62,306303.62,306303.62,306303.62
1.0,347041.2352024922,3852,317495.5,332150.03,333154.72,341192.03,345185.97,345833.94,351722.66,350564.06,355705.62,356040.38,359036.44,358975.8,359035.34,356926.66,358654.25,358678.88,358410.03,356879.4,356209.03,356293.72,356124.3,356108.7,355353.2,355353.2,354267.12,352387.75,352387.75,352387.3,352387.3,352387.3
1.25,621216.6666666666,9,593318.56,597720.6,597689.94,608762.4,611998.9,611977.9,617781.75,617599.94,627059.9,627075.5,632324.3,634142.94,639457.75,632774.06,637483.75,637387.7,637034.8,635017.56,630153.2,630373.0,630674.44,630674.44,629528.1,629528.1,629666.75,620775.75,616370.44,616105.6,616105.6,616105.6
1.5,409322.20677731675,1446,375789.94,385863.44,386868.1,397512.9,401558.12,402053.3,408500.5,407374.53,414225.62,414410.72,417910.2,417914.34,417921.16,414930.3,417039.12,417052.3,417058.88,415114.88,415624.3,415741.34,415569.53,415448.7,413410.62,413410.62,411849.66,407662.75,407643.84,407643.0,407643.0,407643.0
1.75,454896.0967847769,3048,415295.47,423279.3,424039.72,437860.97,442310.97,442847.16,450120.16,449761.2,457527.12,457679.47,461411.53,461157.78,462029.84,458130.03,460720.72,460725.4,460841.06,458823.6,459698.06,459911.66,459719.3,459577.7,455539.66,455538.4,454028.0,449676.5,449663.2,449660.12,449660.12,449660.12
2.0,457889.7186528497,1930,418187.5,426774.1,427894.25,441142.53,445549.2,446022.84,453986.4,453295.84,461231.16,461085.38,464654.1,465034.5,465494.78,461731.47,464357.75,464320.47,464363.53,462206.16,461677.4,461855.25,461696.9,461560.03,457676.53,457676.2,456193.06,452025.5,452025.5,452003.94,452003.94,452003.94
2.25,533676.7738153395,2047,482950.0,489322.7,489895.84,503187.94,507219.34,507642.78,518005.9,517959.03,526980.3,526297.5,530493.1,530955.3,534266.4,529084.7,532706.8,532595.3,532908.2,530593.9,533692.0,533987.0,533798.1,533211.4,523953.03,523951.22,522491.28,515420.1,515315.38,515286.66,515286.66,515286.66
2.5,553596.5044609666,5380,502929.22,509867.34,510451.8,521969.8,526358.56,526705.8,542059.8,542408.5,550898.94,549229.4,554743.5,556385.6,561455.1,556713.6,560314.5,560094.7,560409.44,558371.8,561842.0,562073.8,561577.0,559509.06,549155.3,549151.5,547531.25,538832.1,538439.75,538340.3,538340.3,538340.3
