,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,population,density,violent_crime,property_crime,other_crime,median_income,yr_sold,mon_sold,day_of_week,dist_to_loc0,dist_to_loc1,dist_to_loc2
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,5650,24092,4966.0,3.539,41.63,13.36,58707,2014,10,1,7.439565802191745,10.672586929717015,4.720154948938457
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,47.721,-122.319,1690,7639,37081,6879.0,3.736,34.6,6.566,53044,2014,12,2,7.955391675506081,10.460387579382648,18.817156501467007
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,47.7379,-122.233,2720,8062,20419,3606.0,1.677,10.92,3.339,82448,2015,2,3,10.201139977967145,8.330560733734583,20.195377682412275
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,47.5208,-122.393,1360,5000,14770,6425.0,2.345,21.83,3.563,84344,2014,12,2,6.548227465543051,14.767927609747991,6.630042809747047
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,7503,25748,2411.0,2.266,7.717,2.082,143686,2015,2,3,13.39317099582757,4.2358406972019775,16.571069968807322
5,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,101930,18784,662.0,1.616,6.894,3.648,116518,2014,5,1,15.615970285684194,5.907602565593311,19.810730252805367
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,47.3097,-122.327,2238,6819,44151,3800.0,3.001,38.95,9.487,45894,2014,6,5,20.487784379231208,24.583164979943753,9.714817106567187
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,47.4095,-122.315,1650,9711,34584,4441.0,3.036,28.04,9.103,56364,2015,1,4,13.614221517254608,18.0956415143856,2.8323154048357737
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,8113,25922,5573.0,3.309,36.86,12.41,56809,2015,4,3,6.491956965401374,13.068614816639812,4.723434242634671
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,47.3684,-122.031,2390,7570,31171,469.0,1.548,13.43,5.03,95043,2015,3,4,21.62416875911478,19.28738186166219,13.704917048675544
