bedrooms,average_price,count,aver_pred_price_0,aver_pred_price_1,aver_pred_price_2,aver_pred_price_3,aver_pred_price_4,aver_pred_price_5,aver_pred_price_6,aver_pred_price_7,aver_pred_price_8,aver_pred_price_9,aver_pred_price_10,aver_pred_price_11
0,409503.8461538461,13,394849.06,396601.28,401464.16,401424.97,402455.7,400443.97,393895.5,393437.97,393437.97,388227.03,388227.03,388227.03
1,317642.88442211057,199,305706.22,305738.56,309839.2,310427.1,310562.47,309867.94,306350.44,305759.2,305748.62,305621.66,305621.66,305621.66
2,401372.681884058,2760,388429.16,388478.72,394633.56,395198.28,394518.53,392942.38,388371.0,387519.97,387407.97,387263.16,387263.16,387263.16
3,466249.764783715,9825,453535.7,453588.97,460429.6,460579.47,460407.38,457432.53,450649.3,449497.75,449236.97,448504.34,448504.34,448504.34
4,635419.5042138913,6882,623078.3,623351.56,631753.4,629675.44,629978.56,625429.94,614741.5,612424.2,611896.75,607321.25,607321.25,607321.25
5,786599.8288569644,1601,772953.9,773855.25,784102.75,781409.44,782368.6,776762.7,762662.3,757981.4,756980.94,747226.0,747226.0,747226.0
6,825520.6360294118,272,800934.7,802150.94,813216.25,811435.44,812492.7,806171.75,790763.5,785098.4,784616.5,775303.8,775303.8,775303.8
7,951184.6578947369,38,950835.06,951655.06,964869.5,962071.9,963676.1,958382.8,941066.94,936602.2,935915.9,913788.44,913788.44,913788.44
8,1105076.923076923,13,1016051.25,1019993.0,1036882.6,1035640.7,1038496.6,1030661.9,1011299.06,1007341.75,1006806.7,982825.75,982825.75,982825.75
9,893999.8333333334,6,971486.7,971086.2,993675.2,991856.0,987741.2,981124.8,954406.8,945171.7,940128.8,913281.7,913281.7,913281.7
10,819333.3333333334,3,942236.25,942776.5,960724.75,953102.7,952556.3,944835.56,920743.7,913084.2,898778.7,881217.3,881217.3,881217.3
11,520000.0,1,503179.94,503179.94,503377.22,497550.2,495178.16,486247.88,481338.4,481175.44,481175.44,481175.44,481175.44,481175.44
