grade,average_price,count,aver_pred_price_1,aver_pred_price_3,aver_pred_price_4,aver_pred_price_5,aver_pred_price_6,aver_pred_price_7,aver_pred_price_8,aver_pred_price_9,aver_pred_price_10,aver_pred_price_11,aver_pred_price_12,aver_pred_price_13
1,142000.0,1,142931.95,161414.47,181391.12,180105.72,186540.73,193943.55,209395.05,240441.5,261256.53,299223.44,327856.62,327856.62
3,205666.66666666666,3,142794.33,156452.86,185833.94,187075.55,191587.58,201770.8,217915.38,244456.45,266512.56,297935.0,321453.47,321453.47
4,214381.0344827586,29,183258.2,201079.67,217222.44,222880.23,236418.95,253002.8,275829.97,304593.7,332686.8,377641.6,413018.66,413116.03
5,248523.97107438016,242,195434.19,213277.03,230053.25,236592.1,252291.88,271254.12,297571.84,328028.44,359009.25,402902.75,437909.94,437967.47
6,301919.63738959766,2038,230627.84,253168.64,266616.06,275499.66,297147.72,317890.84,348351.88,387023.47,426952.34,478210.75,520233.78,520383.62
7,402590.2623315889,8981,300899.16,326175.4,341624.03,354562.03,371472.53,397918.2,431682.1,478707.5,527632.06,587790.9,642004.6,642385.6
8,542852.7656558998,6068,383713.62,411060.28,429960.56,445780.53,462380.62,495503.53,536962.4,591356.06,650125.7,720950.5,789432.8,790128.06
9,773513.1858508604,2615,497054.16,530681.25,555472.4,574700.7,592731.56,640728.8,697259.2,766391.75,844109.06,931550.8,1024353.8,1025695.0
10,1071771.0740740742,1134,618541.06,660003.9,686588.94,712269.56,733224.94,801478.75,871548.0,963558.94,1064071.2,1170218.0,1292821.0,1295595.9
11,1496841.7268170426,399,793055.25,846093.9,871252.56,894035.25,920884.6,1003239.9,1088362.0,1211067.2,1339384.2,1478103.9,1637608.8,1642492.8
12,2191222.0,90,1024413.9,1092925.4,1121007.9,1145314.5,1187466.6,1278920.0,1388445.8,1560029.8,1735634.9,1933585.8,2127966.5,2136226.0
13,3709615.3846153845,13,1346384.0,1436428.5,1470234.8,1490004.2,1530049.1,1620917.1,1768322.8,2029703.9,2290120.8,2615227.8,2917851.0,2926342.8
