zipcode,violent_crime,property_crime,other_crime,population,density,median_home_value,median_income
98002,3.55,37.61,6.282,31647,4423.0,167100,43568
98168,3.43,48.53,8.149,33734,3794.0,240000,49233
98032,3.906,45.95,32.51,33853,2024.0,234700,48853
98001,2.401,18.87,8.3,31911,1717.0,268800,71746
98148,3.255,54.56,12.2,10010,3194.0,255900,45424
98023,1.903,13.28,6.034,47510,4604.0,265100,67906
98188,3.529,57.17,9.923,23111,3062.0,226800,40815
98003,3.001,38.95,9.487,44151,3800.0,221600,45894
98030,2.572,43.34,15.31,33769,4741.0,251700,51446
98031,1.976,18.43,10.78,36581,4877.0,271500,63709
98198,3.036,28.04,9.103,34584,4441.0,258500,56364
98055,2.477,22.8,7.574,21904,4585.0,266100,66461
98178,3.539,41.63,13.36,24092,4966.0,283100,58707
98042,1.65,13.63,6.519,43673,1537.0,297100,87342
98022,2.915,19.47,11.21,20987,52.0,300800,66295
98106,4.096,43.76,8.449,22873,4161.0,281700,57875
98092,1.833,16.39,5.579,39816,892.0,287600,70877
98058,1.834,18.91,6.131,41938,2215.0,302200,77780
98108,5.26,47.98,12.22,22374,2989.0,326500,52232
98146,3.309,36.86,12.41,25922,5573.0,308400,56809
98038,1.548,13.43,5.03,31171,469.0,317700,95043
98133,3.071,24.08,5.365,44555,6279.0,326400,51499
98118,4.377,32.55,6.045,42731,6841.0,350700,52276
98056,2.242,21.56,5.088,32489,4323.0,342600,70683
98010,1.616,12.73,41.72,5025,334.0,319300,85398
98155,1.937,18.3,5.677,32778,4330.0,340900,72281
98126,3.632,30.94,8.22,20698,6732.0,358100,66408
98019,3.154,10.96,6.284,10725,141.0,376600,95025
98045,2.315,30.36,7.854,13888,41.0,368300,88906
98014,2.232,13.03,5.172,6765,149.0,410900,95394
98028,1.677,10.92,3.339,20419,3606.0,386200,82448
98166,2.851,26.31,14.63,20301,3580.0,386900,63320
98125,3.736,34.6,6.566,37081,6879.0,372000,53044
98070,1.896,16.43,9.532,10624,288.0,413400,72774
98011,2.243,15.56,3.249,29212,3569.0,351000,71720
98059,1.83,17.59,5.105,34463,1725.0,363500,91465
98034,3.867,23.14,3.325,40407,4428.0,364900,77688
98065,1.868,11.49,4.966,12699,171.0,418900,121415
98136,2.345,21.83,3.563,14770,6425.0,445700,84344
98072,2.384,22.42,5.62,22312,1231.0,466100,107654
98117,2.018,25.89,3.545,31365,7953.0,463500,86986
98107,3.426,39.18,6.113,21147,9602.0,447700,67566
98024,1.63,11.94,6.626,5650,236.0,490600,93777
98103,3.018,37.68,5.193,45911,9905.0,478200,75763
98144,5.649,61.92,9.129,26881,7895.0,391000,55950
98029,1.588,18.73,5.424,24348,2719.0,446900,99974
98027,2.244,14.26,4.039,26141,469.0,478800,100644
98007,3.552,19.12,3.245,24889,5684.0,379000,73162
98116,2.393,23.06,5.21,22241,7523.0,467900,74274
98115,2.088,23.37,3.881,46206,7018.0,492700,84159
98122,8.105,52.65,10.35,31454,13594.0,407600,53570
98052,3.674,23.77,3.818,58442,2908.0,465200,99192
98008,2.916,19.67,3.812,24411,4437.0,457200,92986
98177,1.705,15.28,6.404,19030,3341.0,478600,95648
98053,1.616,6.894,3.648,18784,662.0,544500,116518
98077,1.124,9.068,4.59,13585,785.0,570700,137125
98074,2.266,7.717,2.082,25748,2411.0,556000,143686
98075,2.348,8.634,2.954,20715,2185.0,614100,142926
98199,2.054,22.9,5.713,19686,4714.0,606200,82882
98033,2.739,22.71,3.364,34338,3696.0,528300,103250
98005,4.162,31.85,4.769,17714,2361.0,568700,84774
98119,3.651,34.07,7.256,21039,8638.0,608300,68383
98006,1.774,27.96,2.973,36364,3402.0,574000,110290
98105,12.91,47.57,6.293,43924,10643.0,613900,45560
98109,5.345,52.92,6.442,20715,10361.0,451400,77034
98102,4.697,49.21,7.272,20756,15829.0,406000,65054
98112,3.092,28.09,5.011,21077,6667.0,754200,96054
98040,2.093,19.23,3.915,22699,3591.0,864000,126359
98004,5.314,49.68,4.461,27946,3977.0,723300,93521
98039,2.455,20.82,3.051,2971,2059.0,1000001,183833
